class,precision,recall,f1-score,support
refrigerator,0.8571428571428571,0.8823529411764706,0.8695652173913043,34.0
ride,0.7941176470588235,0.7941176470588235,0.7941176470588235,34.0
room,0.7692307692307693,0.8108108108108109,0.7894736842105263,37.0
sad,0.9166666666666666,0.8461538461538461,0.88,39.0
same,0.9428571428571428,0.9166666666666666,0.9295774647887324,36.0
say,0.8095238095238095,0.8947368421052632,0.85,38.0
scissors,0.8378378378378378,0.8611111111111112,0.8493150684931506,36.0
see,0.85,0.8717948717948718,0.8607594936708861,39.0
shhh,0.975609756097561,0.975609756097561,0.975609756097561,41.0
shirt,0.8709677419354839,0.7714285714285715,0.8181818181818182,35.0
shoe,0.7692307692307693,0.8571428571428571,0.8108108108108109,35.0
shower,0.8947368421052632,0.918918918918919,0.9066666666666666,37.0
sick,0.9459459459459459,0.9210526315789473,0.9333333333333333,38.0
sleep,0.625,0.6578947368421053,0.6410256410256411,38.0
sleepy,0.7045454545454546,0.7560975609756098,0.7294117647058823,41.0
smile,0.9375,0.8108108108108109,0.8695652173913043,37.0
snack,0.8333333333333334,0.9210526315789473,0.875,38.0
snow,0.9705882352941176,0.868421052631579,0.9166666666666666,38.0
stairs,0.8529411764705882,0.7631578947368421,0.8055555555555556,38.0
stay,0.8648648648648649,0.8648648648648649,0.8648648648648649,37.0
sticky,0.7931034482758621,0.6764705882352942,0.7301587301587301,34.0
store,0.8571428571428571,0.9473684210526315,0.9,38.0
story,0.8378378378378378,0.8378378378378378,0.8378378378378378,37.0
stuck,0.9666666666666667,0.8787878787878788,0.9206349206349206,33.0
sun,0.8947368421052632,0.8717948717948718,0.8831168831168831,39.0
table,0.8181818181818182,0.8181818181818182,0.8181818181818182,33.0
talk,0.8809523809523809,0.9487179487179487,0.9135802469135802,39.0
taste,0.8780487804878049,0.9230769230769231,0.9,39.0
thankyou,0.9411764705882353,0.9142857142857143,0.927536231884058,35.0
that,0.8611111111111112,0.8157894736842105,0.8378378378378378,38.0
there,0.6875,0.6111111111111112,0.6470588235294118,36.0
think,0.8717948717948718,0.8717948717948718,0.8717948717948718,39.0
thirsty,0.8717948717948718,0.9444444444444444,0.9066666666666666,36.0
tiger,0.9736842105263158,0.9487179487179487,0.961038961038961,39.0
time,0.8333333333333334,0.8108108108108109,0.821917808219178,37.0
tomorrow,0.8780487804878049,0.9230769230769231,0.9,39.0
tongue,0.8947368421052632,0.9444444444444444,0.918918918918919,36.0
tooth,0.7906976744186046,0.8717948717948718,0.8292682926829268,39.0
toothbrush,0.9722222222222222,0.8974358974358975,0.9333333333333333,39.0
touch,0.90625,0.7837837837837838,0.8405797101449275,37.0
toy,0.868421052631579,0.8918918918918919,0.88,37.0
tree,0.8157894736842105,0.8157894736842105,0.8157894736842105,38.0
uncle,0.9512195121951219,0.975,0.9629629629629629,40.0
underwear,0.8823529411764706,0.8108108108108109,0.8450704225352113,37.0
up,0.9024390243902439,0.9487179487179487,0.925,39.0
vacuum,0.8846153846153846,0.7419354838709677,0.8070175438596491,31.0
wait,0.7142857142857143,0.7142857142857143,0.7142857142857143,35.0
wake,0.5454545454545454,0.6,0.5714285714285714,40.0
water,1.0,0.8974358974358975,0.9459459459459459,39.0
wet,0.7837837837837838,0.8055555555555556,0.7945205479452054,36.0
weus,0.8285714285714286,0.7837837837837838,0.8055555555555556,37.0
where,0.9487179487179487,1.0,0.9736842105263158,37.0
white,0.9210526315789473,0.9459459459459459,0.9333333333333333,37.0
who,0.9444444444444444,0.8292682926829268,0.8831168831168831,41.0
why,0.9090909090909091,0.8571428571428571,0.8823529411764706,35.0
will,0.9166666666666666,0.8918918918918919,0.9041095890410958,37.0
wolf,0.8918918918918919,0.868421052631579,0.88,38.0
yellow,0.9166666666666666,0.868421052631579,0.8918918918918919,38.0
yes,0.8333333333333334,0.7894736842105263,0.8108108108108109,38.0
yesterday,0.9487179487179487,0.925,0.9367088607594937,40.0
yourself,0.8974358974358975,0.8974358974358975,0.8974358974358975,39.0
yucky,0.8421052631578947,0.8648648648648649,0.8533333333333334,37.0
zebra,0.8604651162790697,0.9736842105263158,0.9135802469135802,38.0
zipper,0.7575757575757576,0.8333333333333334,0.7936507936507936,30.0
macro avg,0.8564821102578457,0.8539094922719971,0.8535023048492566,9344.0
weighted avg,0.8582531175254684,0.8553082191780822,0.8551108783293765,9344.0
