class,per_class_accuracy
hello,0.8974358974358975
alligator,0.8974358974358975
water,0.8974358974358975
toothbrush,0.8974358974358975
hungry,0.8974358974358975
say,0.8947368421052632
cloud,0.8947368421052632
carrot,0.8947368421052632
will,0.8918918918918919
closet,0.8918918918918919
ear,0.8918918918918919
cheek,0.8918918918918919
toy,0.8918918918918919
loud,0.8918918918918919
arm,0.8888888888888888
drawer,0.8888888888888888
better,0.8888888888888888
read,0.8857142857142857
animal,0.8857142857142857
bath,0.8823529411764706
jacket,0.8823529411764706
clean,0.8823529411764706
refrigerator,0.8823529411764706
stuck,0.8787878787878788
listen,0.875
pretend,0.875
down,0.875
make,0.875
finish,0.8717948717948718
hair,0.8717948717948718
blow,0.8717948717948718
balloon,0.8717948717948718
pretty,0.8717948717948718
tooth,0.8717948717948718
sun,0.8717948717948718
think,0.8717948717948718
penny,0.8717948717948718
see,0.8717948717948718
dance,0.8709677419354839
grass,0.868421052631579
yellow,0.868421052631579
wolf,0.868421052631579
dad,0.868421052631579
snow,0.868421052631579
minemy,0.8648648648648649
rain,0.8648648648648649
yucky,0.8648648648648649
stay,0.8648648648648649
scissors,0.8611111111111112
happy,0.8611111111111112
red,0.8611111111111112
noisy,0.8571428571428571
fine,0.8571428571428571
shoe,0.8571428571428571
why,0.8571428571428571
bed,0.8571428571428571
pig,0.8571428571428571
duck,0.8536585365853658
puzzle,0.8529411764705882
hat,0.8529411764705882
cow,0.85
sad,0.8461538461538461
frenchfries,0.8461538461538461
cry,0.8461538461538461
kitty,0.8421052631578947
fall,0.8421052631578947
police,0.8421052631578947
like,0.8421052631578947
another,0.8378378378378378
story,0.8378378378378378
not,0.8378378378378378
bad,0.8378378378378378
dryer,0.8378378378378378
helicopter,0.8378378378378378
dog,0.8378378378378378
zipper,0.8333333333333334
quiet,0.8333333333333334
owie,0.8333333333333334
who,0.8292682926829268
table,0.8181818181818182
outside,0.8157894736842105
jump,0.8157894736842105
mouth,0.8157894736842105
pencil,0.8157894736842105
tree,0.8157894736842105
that,0.8157894736842105
cereal,0.8157894736842105
gift,0.8157894736842105
time,0.8108108108108109
underwear,0.8108108108108109
smile,0.8108108108108109
room,0.8108108108108109
giraffe,0.8108108108108109
wet,0.8055555555555556
pool,0.8055555555555556
farm,0.8
lips,0.8
pajamas,0.7948717948717948
dry,0.7948717948717948
glasswindow,0.7948717948717948
hesheit,0.7941176470588235
haveto,0.7941176470588235
night,0.7941176470588235
ride,0.7941176470588235
yes,0.7894736842105263
fish,0.7894736842105263
finger,0.7894736842105263
touch,0.7837837837837838
weus,0.7837837837837838
morning,0.7837837837837838
hear,0.7804878048780488
empty,0.7777777777777778
fast,0.7777777777777778
feet,0.7777777777777778
person,0.7741935483870968
any,0.7714285714285715
hate,0.7714285714285715
shirt,0.7714285714285715
eye,0.7692307692307693
stairs,0.7631578947368421
no,0.7567567567567568
elephant,0.7567567567567568
boat,0.7567567567567568
lamp,0.7567567567567568
look,0.7560975609756098
sleepy,0.7560975609756098
hide,0.75
goose,0.75
pen,0.75
all,0.7435897435897436
book,0.7428571428571429
vacuum,0.7419354838709677
grandma,0.7368421052631579
child,0.7352941176470589
drop,0.7352941176470589
have,0.7352941176470589
cat,0.717948717948718
puppy,0.7142857142857143
wait,0.7142857142857143
after,0.7142857142857143
nap,0.7105263157894737
backyard,0.7027027027027027
close,0.7027027027027027
can,0.6944444444444444
on,0.6944444444444444
go,0.6923076923076923
cut,0.6857142857142857
jeans,0.6842105263157895
sticky,0.6764705882352942
give,0.6764705882352942
into,0.6666666666666666
bedroom,0.6578947368421053
sleep,0.6578947368421053
before,0.6571428571428571
face,0.6486486486486487
open,0.6111111111111112
there,0.6111111111111112
wake,0.6
beside,0.5483870967741935
awake,0.42105263157894735
